seed,case_id,geometry,knudsen,target,samples,nrmse_P,nrmse_S0,nrmse_S1,nrmse_S2,S1_gain_vs_S0_percent,S2_gain_vs_S1_percent
47,FWD_Ma6_Kn0p4,FWD,0.4,cf,60,0.4184706569323274,0.7048929174633567,0.672736105520573,0.6995287461250755,4.5619428350201,-3.9826375282429742
47,ISO_Ma6_Kn0p2,ISO,0.2,cp,60,0.05472206611659672,0.09620800690165283,0.04275149414121902,0.03349510711615069,55.56347593301556,21.651610571766533
47,ISO_Ma6_Kn0p2,ISO,0.2,cf,60,0.28581795166798674,0.574088534290135,0.6340920981983051,0.6540699057751503,-10.451970440824963,-3.150616075111121
47,ISO_Ma6_Kn0p4,ISO,0.4,cp,60,0.03668858478194477,0.08866389755670101,0.0552656933819796,0.04927799706975432,37.66832396845976,10.834381957067203
47,ISO_Ma6_Kn0p4,ISO,0.4,cf,60,0.24465938535408502,0.33135217433516717,0.4291735988961898,0.4401052839129075,-29.521890042609144,-2.5471475982757052
71,BWD_Ma6_Kn0p2,BWD,0.2,cp,60,0.03520989777932062,0.05308203381094952,0.057436830309791916,0.06442098033468639,-8.203899108975195,-12.159706563235973
71,BWD_Ma6_Kn0p2,BWD,0.2,cf,60,0.33346901943647844,0.30791930139963486,0.4667067412769081,0.4631922210182893,-51.5678748150932,0.7530468167233022
71,BWD_Ma6_Kn0p4,BWD,0.4,cp,60,0.04374792494172687,0.054676766133632086,0.08430561695254767,0.09127274160523648,-54.18910611227728,-8.264128660146492
71,BWD_Ma6_Kn0p4,BWD,0.4,cf,60,0.22669632408508267,0.20657915123628584,0.3073663078677993,0.34886378318275385,-48.7886391382414,-13.500983761955773
71,FWD_Ma6_Kn0p2,FWD,0.2,cp,60,0.03110073226579553,0.08614264852866373,0.06870339831792466,0.06033488229017407,20.244618094063135,12.180643509110446
71,FWD_Ma6_Kn0p2,FWD,0.2,cf,60,0.5556431590247833,0.803551701538173,0.8588713278229047,0.838384481327916,-6.884389166103166,2.3853219721421364
71,FWD_Ma6_Kn0p4,FWD,0.4,cp,60,0.022070147956203996,0.1028717165421881,0.06186121616394849,0.056517093892409935,39.86567130083908,8.638889764752161
71,FWD_Ma6_Kn0p4,FWD,0.4,cf,60,0.4272692554564367,0.707994103636353,0.6793884997128807,0.696490113530559,4.040373186238416,-2.5172068448179004
71,ISO_Ma6_Kn0p2,ISO,0.2,cp,60,0.04672755057023286,0.08037646250040949,0.037833612774486575,0.03377892315135527,52.92948756696797,10.717162136484143
